timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue,cloud_provider,cloud_region
2026-04-09T18:12:11,codecarbon,d68f0e26-29c5-4f77-825e-daa3434ff34c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2433.110850500001,0.0059294787738323,2.436994916451853e-06,42.5,8.750500753672286,38.0,0.0287139650132637,0.0059041677788858,0.0256726588236672,0.0602907916158167,0.0,Brazil,BRA,minas gerais,Windows-11-10.0.26200-SP0,3.14.3,3.2.2,32,Intel(R) Core(TM) i9-14900,1,1 x NVIDIA RTX 4000 Ada Generation,-45.0436,-21.267,127.69407272338869,machine,76.52179327521793,10.916562889165627,23.39406392694064,29.87311830437495,N,1.0,0.0,,
2026-04-10T00:23:55,codecarbon,8e1d2e6c-8152-4980-bc9f-f67523b770af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2439.3480436999816,0.0059604982737974,2.443480047544428e-06,42.5,8.978369956364483,38.0,0.0287868292622291,0.0060816298652999,0.0257377379867735,0.0606061971143026,0.0,Brazil,BRA,minas gerais,Windows-11-10.0.26200-SP0,3.14.3,3.2.2,32,Intel(R) Core(TM) i9-14900,1,1 x NVIDIA RTX 4000 Ada Generation,-45.0436,-21.267,127.69407272338869,machine,76.87986743993372,8.052609776304887,26.912800331400167,34.366085890016976,N,1.0,0.0,,
2026-04-10T15:45:15,codecarbon,247dee8a-3ce0-4bc2-9231-d2dd3eb59c94,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2499.2876582999015,0.00612147932705367,2.4492896232751787e-06,42.5,9.190363331060858,38.0,0.029494408036374396,0.006378294269297813,0.026370346124938167,0.062243048430610376,0.0,Brazil,BRA,minas gerais,Windows-11-10.0.26200-SP0,3.14.3,3.2.2,32,Intel(R) Core(TM) i9-14900,1,1 x NVIDIA RTX 4000 Ada Generation,-45.0436,-21.267,127.69407272338867,machine,78.5610347615198,13.55092966855295,27.670291026677447,35.32929793306195,N,1.0,0.0,,
